"""content""","""contenttype""","""created""","""id""","""language"""
"b'@sandriii_gomez Nuestras joyas son de oro y plata de primera ley, cumplen la legislaci\xc3\xb3n y est\xc3\xa1n certificadas por l\xe2\x80\xa6 https://t.co/gVSb93DhmH'","""text/plain""",1579634706,1.2197E+18,"""es"""
"b'@tekieiarcarajo @elmundoes Nuestras joyas son de oro y plata de primera ley, cumplen la legislaci\xc3\xb3n y est\xc3\xa1n certifi\xe2\x80\xa6 https://t.co/HyoKsd6WK9'","""text/plain""",1579634611,1.2197E+18,"""es"""
"b'@_virginiavargas Nuestras joyas son de oro y plata de primera ley, cumplen la legislaci\xc3\xb3n y est\xc3\xa1n certificadas por\xe2\x80\xa6 https://t.co/XFhTJim40t'","""text/plain""",1579634544,1.2197E+18,"""es"""
"b'@BeaWecIndy1 @charomerlos @jesusmgranada2 Nuestras joyas son de oro y plata de primera ley, cumplen la legislaci\xc3\xb3n\xe2\x80\xa6 https://t.co/7iqxPclUFo'","""text/plain""",1579633563,1.2197E+18,"""es"""
"b'@ascreon Nuestras joyas son de oro y plata de primera ley, cumplen la legislaci\xc3\xb3n y est\xc3\xa1n certificadas por laborato\xe2\x80\xa6 https://t.co/jSlvEyc2H7'","""text/plain""",1579633288,1.2197E+18,"""es"""
"b'@Crisvgo Buenas tardes @Crisvgo, lamentamos lo que nos comentas. Nos consta que nuestro servicio de atenci\xc3\xb3n al cli\xe2\x80\xa6 https://t.co/JOafhlOpBN'","""text/plain""",1579633123,1.2197E+18,"""es"""
"b'@angela_poveda9 Buenos d\xc3\xadas @angela_poveda9, lamentamos lo que nos comentas. Te recomendamos contactes con nuestro\xe2\x80\xa6 https://t.co/Wv7hFlITg1'","""text/plain""",1579632374,1.21969E+18,"""es"""
"b'@Patrici42457504 Hola @Patrici42457504, el Electroforming es una t\xc3\xa9cnica incluida en TOUS durante los 90 para crear\xe2\x80\xa6 https://t.co/yCklxV8Z0e'","""text/plain""",1579632109,1.21969E+18,"""es"""
"b'@CaptainMapache Buenas tardes @CaptainMapacheBuenos, lamentamos lo que nos comentas. Para poder revisar tu caso de\xe2\x80\xa6 https://t.co/hq0jUK30Rt'","""text/plain""",1579631736,1.21969E+18,"""es"""
"b'@LaGata46196252 @20m Nuestras joyas son de oro y plata de primera ley, cumplen la legislaci\xc3\xb3n y est\xc3\xa1n certificadas\xe2\x80\xa6 https://t.co/Rsm5oasWWe'","""text/plain""",1579631178,1.21969E+18,"""es"""
"b'@ladyblackvelvet Nuestras joyas son de oro y plata de primera ley, cumplen la legislaci\xc3\xb3n y est\xc3\xa1n certificadas por\xe2\x80\xa6 https://t.co/dumE7rzFzn'","""text/plain""",1579630677,1.21969E+18,"""es"""
"b'@chriscamposc @rosatous Buenas tardes @chriscamposc, gracias por escribirnos. Lamentamos lo que nos comentas. Nos c\xe2\x80\xa6 https://t.co/pNjf3EBANt'","""text/plain""",1579630506,1.21968E+18,"""es"""
"b'El Electroforming es una t\xc3\xa9cnica incluida en TOUS durante los a\xc3\xb1os 90 para crear joyas resistentes, de gran volumen\xe2\x80\xa6 https://t.co/hNeTI8eaQA'","""text/plain""",1579624683,1.21966E+18,"""es"""
b'Trabajamos las joyas utilizando la milenaria tecnolog\xc3\xada de microfusi\xc3\xb3n y la m\xc3\xa1s vanguardista de electroforming. Com\xe2\x80\xa6 https://t.co/ADfCr83icF',"""text/plain""",1579607879,1.21959E+18,"""es"""
b'Todas nuestras joyas de oro y plata son siempre de primera ley y cumplen expresamente con la legislaci\xc3\xb3n de metales\xe2\x80\xa6 https://t.co/tqrakdsnlJ',"""text/plain""",1579555624,1.21937E+18,"""es"""
"b'@modalley Buenos d\xc3\xadas @modalley. Nuestro Servicio de Atenci\xc3\xb3n al cliente no encuentra tu email. Por favor, reenv\xc3\xadal\xe2\x80\xa6 https://t.co/Jm0VTk7djW'","""text/plain""",1579528566,1.21926E+18,"""es"""
b'@panchoycanela33 Buenos d\xc3\xadas @panchoycanela33. Nuestro Servicio de Atenci\xc3\xb3n al cliente no encuentra tu email. Por f\xe2\x80\xa6 https://t.co/PLkZx1ja34',"""text/plain""",1579528451,1.21926E+18,"""es"""
